Time,Omega_X,Omega_Y,Omega_Z
0.949659117332519,-8.66038343202526e-07,-2778.98299045004,3.89308781028378e-07
0.950659117332519,-8.71817043932092e-07,-2782.68996732747,3.8937024601421e-07
0.951659117332519,-8.76147716708387e-07,-2786.39694420312,3.89457190667645e-07
0.952659117332519,-8.7871847468235e-07,-2790.10392107657,3.8956256364877e-07
0.953659117332519,-8.79360998254309e-07,-2793.81089794762,3.89677696131723e-07
0.954659117332519,-8.78068858394559e-07,-2797.51787481625,3.89792838972473e-07
0.955659117332519,-8.75001423489961e-07,-2801.22485168266,3.898981509375e-07
0.956659117332519,-8.70472272819664e-07,-2804.93182854724,3.89984399689132e-07
0.957659117332519,-8.64926437819431e-07,-2808.63880541052,3.90043920949428e-07
0.958659117332519,-8.58903841023144e-07,-2812.34578227319,3.90071080400205e-07
0.959659117332519,-8.52995743391554e-07,-2816.05275913598,3.90063095918297e-07
0.960659117332519,-8.47793399883126e-07,-2819.75973599962,3.90020082504584e-07
0.961659117332519,-8.43836038350207e-07,-2823.46671286478,3.89945298180769e-07
0.962659117332519,-8.41564738850814e-07,-2827.17368973202,3.89844760145048e-07
0.963659117332519,-8.41281152159037e-07,-2830.88066660171,3.89726901209974e-07
0.964659117332519,-8.43117245676889e-07,-2834.58764347401,3.8960177950021e-07
0.965659117332519,-8.47021816481536e-07,-2838.29462034887,3.89480323008511e-07
0.966659117332519,-8.52760694929871e-07,-2842.001597226,3.89373289697627e-07
0.967659117332519,-8.59933776286157e-07,-2845.70857410491,3.89290342036163e-07
0.968659117332519,-8.68007069911401e-07,-2849.41555098494,3.89239249583536e-07
0.969659117332519,-8.76358125311609e-07,-2853.12252786534,3.89225000870109e-07
0.970659117332519,-8.84329296563143e-07,-2856.82950474527,3.89249441947427e-07
0.971659117332519,-8.91285156652895e-07,-2860.53648162398,3.89310941323227e-07
0.972659117332519,-8.96669982044164e-07,-2864.24345850077,3.89404573077161e-07
0.973659117332519,-9.00059286927731e-07,-2867.95043537512,3.89522385708363e-07
0.974659117332519,-9.01200766619627e-07,-2871.65741224672,3.89654153397028e-07
0.975659117332519,-9.0003979276817e-07,-2875.36438911551,3.89788179725879e-07
0.976659117332519,-8.96729281072063e-07,-2879.07136598167,3.89912366632377e-07
0.977659117332519,-8.91619594883415e-07,-2882.77834284564,3.90015296760362e-07
0.978659117332519,-8.8522922173257e-07,-2886.48531970803,3.90087298299937e-07
0.979659117332519,-8.78201921676523e-07,-2890.19229656964,3.901212971063e-07
0.980659117332519,-8.7125063356202e-07,-2893.89927343134,3.90113682851402e-07
0.981659117332519,-8.65094234796475e-07,-2897.606250294,3.90064443371784e-07
0.982659117332519,-8.60390937487096e-07,-2901.31322715842,3.89977569559983e-07
0.983659117332519,-8.57676099026826e-07,-2905.02020402525,3.89860378568948e-07
0.984659117332519,-8.57310447172588e-07,-2908.72718089493,3.89723386986254e-07
