Time,Tau_X,Tau_Y,Tau_Z
8.77709224739969,-0.000202575763162123,7.36649560038616e-05,0.000132257898192884
8.77809224739969,-0.000202601088953729,7.36660393254228e-05,0.000132207742410993
8.77909224739969,-0.000202625970397196,7.36672787164244e-05,0.000132157469815858
8.78009224739969,-0.000202650409059306,7.36686709764513e-05,0.000132107092947305
8.78109224739969,-0.000202674406658055,7.36702129941987e-05,0.00013205662411771
8.78209224739969,-0.000202697964903955,7.3671901641916e-05,0.000132006075505408
8.78309224739968,-0.000202721085615057,7.36737338793587e-05,0.000131955459017049
8.78409224739968,-0.000202743770677608,7.36757065725553e-05,0.00013190478647376
8.78509224739968,-0.000202766021978273,7.367781671534e-05,0.00013185406932692
8.78609224739968,-0.000202787841519523,7.36800613646711e-05,0.000131803318950667
8.78709224739968,-0.000202809231327301,7.36824374402453e-05,0.000131752546514352
8.78809224739968,-0.000202830193508136,7.3684942068365e-05,0.000131701762951438
8.78909224739968,-0.000202850730252895,7.36875723836976e-05,0.000131650979030441
8.79009224739968,-0.00020287084374231,7.36903254895894e-05,0.000131600205298478
8.79109224739968,-0.000202890536262396,7.3693198524267e-05,0.000131549452133223
8.79209224739968,-0.000202909810144219,7.36961887341771e-05,0.000131498729756105
8.79309224739968,-0.00020292866774911,7.36992934046131e-05,0.000131448048138142
8.79409224739968,-0.000202947111552177,7.37025097399166e-05,0.000131397417143578
8.79509224739968,-0.000202965144033923,7.37058351773004e-05,0.000131346846397815
8.79609224739968,-0.000202982767727338,7.37092669800105e-05,0.000131296345382761
8.79709224739968,-0.000202999985191513,7.37128025740591e-05,0.000131245923431781
8.79809224739968,-0.000203016799077884,7.3716439472058e-05,0.000131195589635803
8.79909224739968,-0.000203033212077241,7.37201751458055e-05,0.000131145352947368
8.80009224739968,-0.000203049226930121,7.3724007114555e-05,0.000131095222187597
8.80109224739967,-0.000203064846391054,7.37279329181992e-05,0.000131045205973655
