Time,Ang_X,Ang_Y,Ang_Z
0.00779119408094236,3.64610294230182e-05,-0.0859352340748962,-0.00016760629816316
0.00821955904149058,3.60786102975515e-05,-0.0857812826545806,-0.000154774968248147
0.00864792400203881,3.59459976378287e-05,-0.0856217203424426,-0.00014661387098331
0.00907628896258703,3.61407825355129e-05,-0.0854566285578561,-0.000143279170462409
0.00959926014333594,3.69184141372698e-05,-0.0852475363415999,-0.000145502902923056
0.0101222313240848,3.83548022813979e-05,-0.0850299738878643,-0.000153930462566254
0.0106452025048338,4.04242892782315e-05,-0.0848035824889789,-0.000167217371600363
0.0111681736855827,4.29815524572631e-05,-0.0845678485489729,-0.000183436083290839
0.0116911448663316,4.57842245695351e-05,-0.0843221411803124,-0.000200201504210861
0.0122141160470805,4.85232920914365e-05,-0.0840657461007339,-0.000214757346240207
0.0125407908425225,5.01131055526361e-05,-0.0838999725736614,-0.000221952181170524
0.0128674656379645,5.15414379876388e-05,-0.0837297539049266,-0.000227123517898745
0.0131372549597158,5.25799049303121e-05,-0.0835858090284679,-0.0002297397543818
0.013407044281467,5.34807609430684e-05,-0.0834388344273673,-0.000230832450477703
0.0136768336032183,5.42437828068081e-05,-0.0832888739235376,-0.000230471138866431
0.0139466229249695,5.48749904145667e-05,-0.083135992397865,-0.000228792807635133
0.0143382593348117,5.55790189488229e-05,-0.0829090249790573,-0.000224387645592784
0.0147298957446538,5.6072329925806e-05,-0.0826763441122019,-0.000218273398122618
0.015121532154496,5.64106924041557e-05,-0.0824382558281746,-0.000211228283797621
0.0155131685643381,5.66533556441544e-05,-0.0821950555995057,-0.000204014785038421
0.0159048049741803,5.68568784292239e-05,-0.0819470017905224,-0.000197297054347945
0.0164266007981051,5.71514986407131e-05,-0.0816093072754167,-0.000189964854886533
0.0169483966220299,5.75633384712921e-05,-0.0812637057092007,-0.000185232006322743
0.0174701924459547,5.81661070603816e-05,-0.0809103917215523,-0.000183464703008574
0.0179919882698796,5.9001643991857e-05,-0.0805494150299128,-0.000184589648129903
0.0185137840938044,6.00742752903787e-05,-0.0801807078757701,-0.000188160364810895
0.0192203314039108,6.18301006174563e-05,-0.079668840191964,-0.000195513870452875
0.0199268787140172,6.37828723963098e-05,-0.0791420268202018,-0.000203751573076191
0.0205127140910684,6.53984894213607e-05,-0.0786935364589936,-0.000209605061072236
0.0210985494681195,6.68832520287443e-05,-0.078234260933342,-0.000213447804115111
0.0216843848451707,6.81610740694589e-05,-0.077764200033852,-0.000214784599643779
0.0222702202222218,6.92073606465936e-05,-0.0772835429452821,-0.00021371627844655
0.022856055599273,7.00436717040939e-05,-0.0767926311857001,-0.000210836256930608
0.0235085656039718,7.07953281099929e-05,-0.0762342951811999,-0.000206574185191899
0.0241610756086706,7.14482643946499e-05,-0.0756643430256661,-0.000202399896642912
0.0248135856133695,7.20978155849687e-05,-0.0750832671533933,-0.000199338036628203
0.0254660956180683,7.28209789066563e-05,-0.0744914086587602,-0.00019798554271917
0.0261186056227672,7.36615688829769e-05,-0.073888942193962,-0.000198445805188915
0.0270205795272203,7.5013424040812e-05,-0.0730387042118313,-0.000201334072284672
0.0279225534316735,7.65142771976866e-05,-0.0721681242477915,-0.000205423450514738
0.0288109556106984,7.79829293207852e-05,-0.0712905737609188,-0.00020870203151492
0.0294239182685092,7.89332749094984e-05,-0.0706734878882848,-0.00020998780722611
0.0300368809263201,7.97945191125859e-05,-0.0700470183932107,-0.000210250630326835
0.0306498435841309,8.05609197960901e-05,-0.0694113344081366,-0.000209614152438563
0.0312628062419417,8.12432558491951e-05,-0.0687666544067389,-0.000208365628939896
0.0319728014620025,8.19550916556426e-05,-0.0680089678703705,-0.000206599950893942
0.0326827966820632,8.26232422530575e-05,-0.0672398774081915,-0.00020504051111804
