Time,q_w,q_x,q_y,q_z
0.015121532154496,0.999150606170451,-0.000104362163696163,-0.0412074596392857,2.38292985675948e-05
0.0155131685643381,0.99915560998151,-0.000100757430097181,-0.0410859624329735,2.41116874453124e-05
0.0159048049741803,0.999160698391011,-9.74012448336256e-05,-0.0409620398685532,2.43637345444622e-05
0.0164266007981051,0.999167600822157,-9.37376644240327e-05,-0.0407933336658674,2.46773132855707e-05
0.0169483966220299,0.999174635237473,-9.13704306439225e-05,-0.0406206760741058,2.49957894371008e-05
0.0174701924459547,0.999181795644809,-9.04810562250356e-05,-0.0404441642590103,2.53492195962026e-05
0.0179919882698796,0.999189079007689,-9.10321647115558e-05,-0.040263822984099,2.57607569474412e-05
0.0185137840938044,0.999196484629038,-9.2800710871806e-05,-0.0400796183158245,2.6242304801645e-05
0.0192203314039108,0.999206709262121,-9.6448228415839e-05,-0.0398238889918922,2.69974646379339e-05
0.0199268787140172,0.999217164042535,-0.000100534387727265,-0.0395606900947997,2.78361943392594e-05
0.0205127140910684,0.999226009890553,-0.00010343513714334,-0.0393366196335866,2.85513588893716e-05
0.0210985494681195,0.999235016493855,-0.000105334453565601,-0.0391071587060592,2.92423755191094e-05
0.0216843848451707,0.999244180177145,-0.000105986342013866,-0.0388723070601107,2.98801922197418e-05
0.0222702202222218,0.999253493483872,-0.000105441554561527,-0.0386321590798801,3.04496882049782e-05
0.022856055599273,0.999262946008712,-0.000103996050921997,-0.0383868852728333,3.094934964834e-05
